ID	German_Source	DeepL_Output	GlossWerk_Output	Human_Reference	Changed	Preferred (DeepL/GlossWerk/Equal)	GW_Used_Correct_Term (Yes/No/NA)	Edits_Needed_DeepL (0-5)	Edits_Needed_GlossWerk (0-5)	DE_Term (if terminology issue)	Wrong_MT_Term	Correct_EN_Term	Notes
52	Die Steuerung 7 erkennt in diesem Falle ebenfalls durch Vergleich des aus der Sensorspannung abgeleiteten Taktes mit dem steuerungsinternen Takt die Winkelgeschwindigkeit des Motors 1 und kann somit in Abhängigkeit von vorgegebenen Geschwindigkeitsschwellen zugeordnete Steuersignale an die Schaltungsanordnung geben.	In this case, the control unit 7 also recognizes the angular speed of the motor 1 by comparing the clock pulse derived from the sensor voltage with the internal control clock pulse and can therefore send assigned control signals to the circuit arrangement depending on predefined speed thresholds.	In this case, the control unit 7 also recognizes the angular speed of the motor 1 by comparing the clock pulse derived from the sensor voltage with the internal control clock pulse and can therefore send associated control signals to the circuit arrangement as a function of predefined speed thresholds.	In this case, the control member likewise detects the angular speed of the motor by comparison of the clock pulse derived from the sensor voltage with the clock pulse inside the control member and can thus transmit corresponding control signals to the circuit arrangement in dependence on the given speed thresholds.	Yes								
53	Um diese Effekte zu kompensieren, weist die Spatialfrequenz f B der Beugungsstruktur innerhalb des Flächenteils 14, 15, 16 bzw. 18 eine Modulation auf, d.h. die Spatialfrequenz f B weist keinen Einzelwert auf sondern variiert innerhalb enger Grenzwerte kontinuierlich oder stufenweise, beispielsweise zwischen 500 Linien/mm und 520 Linien/mm bei einer Nominalfrequenz von f B = 510 Linien/mm.	In order to compensate for these effects, the spatial frequency f B of the diffraction structure within the surface part 14, 15, 16 or 18 exhibits a modulation, i.e. the spatial frequency f B does not exhibit a single value but varies continuously or in steps within narrow limits, for example between 500 lines/mm and 520 lines/mm at a nominal frequency of f B = 510 lines/mm.	In order to compensate for these effects, the spatial frequency f B of the diffraction structure exhibits a modulation within the surface part 14, 15, 16 or 18, i.e. the spatial frequency f B does not exhibit a single value but varies continuously or in steps within narrow limits, for example between 500 lines/mm and 520 lines/mm at a nominal frequency of f B=510 lines/mm.	In order to compensate for these effects, the spatial frequency f B of the diffraction structure within the surface part 14, 15, 16 or 18 has a modulation, that is to say the spatial frequency f B does not have a unique value but varies continuously or discontinuously within tight limits, for example between 500 lines/mm and 520 lines/mm for a nominal frequency of f R =510 lines/mm.	Yes								
54	Dadurch ergibt sich nicht nur eine besonders einfache Bauweise des Ventils, sondern, da die gesamte Fläche des Trogbodens als Ventilteller zur Verfügung steht, läßt sich eine besonders großflächige Abdichtung beim Sperrzustand des Ventiles erreichen.	This not only results in a particularly simple valve design, but since the entire surface of the trough base is available as a valve disc, a particularly large-area seal can be achieved when the valve is closed.	This not only results in a particularly simple valve design, but since the entire surface of the trough base is available as a valve disk, a particularly large-surface seal can be achieved when the valve is closed.	This arrangement results in a particularly simple valve structure. Since the entire surface of the bottom of the trough is available as a valve disk, an especially large sealing surface can be obtained when the valve is closed.	Yes								
55	Da hierfür eine geringere Performance notwendig ist, sind die Anforderungen an das zweite Stellsystem 6 geringer.	Since a lower performance is required for this, the demands on the second actuating system 6 are lower.	Since a lower power is required for this purpose, the demands on the second actuating system 6 are lower.	Since a lower performance is necessary here, the requirements on the second positioning system 6 are lower.	Yes								
56	Optional kann eine PIN-Anfrage über das Smartphone erfolgen und so die Freigabe der berechtigten Funktion des Funkschlüssels in Abhängigkeit von einem Passwort oder einem PIN gesteuert werden.	Optionally, a PIN request can be made via the smartphone to control the release of the authorized function of the radio key depending on a password or PIN.	Optionally, a PIN request can be made via the smartphone in order to control the release of the authorized function of the radio key as a function of a password or PIN.	Optionally, a PIN query can occur via the smartphone, and in this manner the release of the authorized function of the control key can be controlled depending on a password or a PIN.	Yes								
57	Die Einströmseite des Lüfters 100 ist mit 112, seine Ausströmseite mit 114 bezeichnet.	The inflow side of the fan 100 is labeled 112 and its outflow side is labeled 114.	The inflow side of the fan 100 is designated 112 and its outflow side is designated 114 .	The inflow side of fan 100 is labeled 112, and its outflow side 114 .	Yes								
58	Des Weiteren umfasst die vorliegende Erfindung ein Boot mit einem oben beschriebenen Bootsrumpf und mit einer Dichtungseinrichtung zur Abdichtung des Bootsinnenraumes gegen eintretendes Wasser im Bereich der Rumpföffnung.	Furthermore, the present invention comprises a boat with a hull as described above and with a sealing device for sealing the interior of the boat against water ingress in the area of the hull opening.	Furthermore, the present invention comprises a boat with a hull as described above and with a sealing device for sealing the interior of the boat against the ingress of water in the region of the hull opening.	In addition the present invention includes a boat with a boat hull as described above and with a sealing device for sealing the inside space of the boat, to prevent water from entering in the area of the hull opening.	Yes								
59	Figur 2 zeigt eine axiale Schnittdarstellung des Auslassventils 32, welches in dem Gehäuse 12 der Kraftstoffhochdruckpumpe 10 angeordnet ist.	Figure 2 shows an axial sectional view of the outlet valve 32, which is arranged in the housing 12 of the high-pressure fuel pump 10.	FIG. 2 shows an axial sectional view of the outlet valve 32 which is arranged in the housing 12 of the high-pressure fuel pump 10 .	FIG. 2 shows an axial section view of the outlet valve 32 which is arranged in the housing 12 of the high-pressure fuel pump 10 .	Yes								
60	Eine weitere, im Master 10 enthaltene Schnittstelle ist die Master-Anwendungsschnittstelle 15, die eine festlegbare Anzahl von Ausgängen 16 und Eingängen 17 aufweist.	Another interface contained in the master 10 is the master application interface 15, which has a definable number of outputs 16 and inputs 17.	Another interface contained in the master 10 is the master application interface 15, which has a definable number of outputs 16 and inputs 17 .	A further interface contained in the master 10 is the master-applications interface 15, which has a definable number of outputs 16 and inputs 17 .	Yes								
61	Überschüssiges Pressgut fällt über den Förderkopf 40 hinweg zwischen den Schwingenarmen 12 hindurch zurück in den tiefsten Bereich des Einfüllraums 2.	Excess pressed material falls over the conveyor head 40 between the swing arms 12 back into the deepest area of the filling chamber 2.	Excess pressed material falls via the conveying head 40 between the rocker arms 12 back into the deepest region of the filling chamber 2 .	Excess material falls beyond the conveying head 40 between the lever arms 12 back into the lowest area of the feeding space 2 .	Yes								
62	Das bedeutet, es hat immer nur ein bzw. der Sender zu einer bestimmten Zeit das Recht, Nachrichten bzw. Sprachnachrichten an die übrigen Sitzungsteilnehmer zu versenden, wobei die übrigen Sitzungsteilnehmer ihn dabei nicht unterbrechen können.	This means that only one or the sender has the right to send messages or voice messages to the other session participants at any given time, whereby the other session participants cannot interrupt him or her.	This means that only one or the sender has the right to send messages or voice messages to the other session participants at any given time, wherein the other session participants cannot interrupt them.	This means that only one sender or the sender has the right at a specific time to send messages or voice messages to the other session participants, with the other session participants being unable to interrupt them while they are doing so.	Yes								
63	Die Reduzierung der Fangquoten für Wale führt zu einer zunehmenden Verknappung von Spermöl, das u. a. ein wichtiger Bestandteil von Backtrennölen ist.	The reduction in catch quotas for whales is leading to an increasing shortage of sperm oil, which is an important component of baking oils, among other things.	The reduction of the catch quotas for whales leads to an increasing shortage of sperm oil, which is an important component of baking oils, inter alia.	The reduction of the catching quotas for whales however, has led to an increasing scarcity of sperm oil, which is, among others, an important component of parting oils for baked goods.	Yes								
64	Auch ist es bekannt, das Auftreffen der Kapillare auf dem Substrat mittels eines Kraftsensors festzustellen, um die Bewegung ganz zu stoppen und die Kontaktierung des Drahtes am zweiten Anschlusspunkt einzuleiten.	It is also known to detect the impact of the capillary on the substrate by means of a force sensor in order to stop the movement completely and initiate the contacting of the wire at the second connection point.	It is also known to detect the impact of the capillary on the substrate by means of a force sensor in order to completely stop the movement and initiate the contacting of the wire at the second connection point.	It is also known to determine the impact of the capillary on the substrate by means of a force sensor in order to completely stop the movement and to initiate the bonding of the wire to the second connection point.	Yes								
65	Die Temperatur im Autoklaven wurde durch einen äußeren Heiz- und Kühlkreislauf und eine Kühlschlange im Inneren des Reaktors geregelt.	The temperature in the autoclave was controlled by an external heating and cooling circuit and a cooling coil inside the reactor.	The temperature in the autoclave was controlled by an external heating and cooling circuit and a cooling coil in the interior of the reactor.	The temperature in the autoclave was regulated by an external heating and cooling circuit and a cooling coil in the interior of the reactor.	Yes								
66	Die Rondelle weist ebenfalls eine Abstufung auf, die der Form der Tubenkopfschulter angepaßt ist.	The rondelle also has a gradation that is adapted to the shape of the tuba head shoulder.	The rondelle also has a gradation which is adapted to the shape of the tubular head shoulder.	The washer likewise has a step which is adapted to the form of the tube head shoulder.	Yes								
67	Auch die Art und Weise, wie Licht für den Leuchtstreifen erzeugt wird, unterliegt keiner Beschränkung und daher kann jede geeignete Art und Weise der Lichterzeugung für die vorliegende Erfindung verwendet werden, bspw. Glühlampen, Gasentladungslampen, Leuchtstofflampen, Elektrolumineszenzeinrichtungen, etc.	The way in which light is generated for the light strip is also not subject to any limitation and therefore any suitable way of generating light can be used for the present invention, for example incandescent lamps, gas discharge lamps, fluorescent lamps, electroluminescent devices, etc.	The way in which light is generated for the light strip is also not subject to any limitation and therefore any suitable way of generating light can be used for the present invention, for example incandescent lamps, gas discharge lamps, fluorescent lamps, electroluminescent devices, etc.	The type and manner that light is created for the light strip is also not subject to any limitation and thus any suitable type and manner of light creation may be used for the present invention, for example incandescent bulbs, gas discharge lamps, fluorescent lamps, electroluminescence fixtures, etc.	No								
68	Eine Dosiervorrichtung 36 entleert kontinuierlich oder in kleinen Portionen Kernmischung 24 auf die untere Klebefolie 16.	A dosing device 36 empties core mixture 24 continuously or in small portions onto the lower adhesive film 16.	A metering device 36 feeds the core mixture 24 continuously or in small portions onto the lower adhesive film 16 .	A metering device 36 discharges core mixture 24 continuously or in small portions onto the lower adhesive film 16.	Yes								
69	eine feinteilige, feste Komponente, welche mindestens ein wasserlösliches oder dispergierbares, feinteiliges, festes Bindemittel (A) enthält,	a finely divided, solid component which contains at least one water-soluble or dispersible, finely divided, solid binder (A),	a finely divided, solid component comprising at least one water-soluble or dispersible, finely divided, solid binder (A),	finely divided solid component comprising at least one water-soluble or dispersible, finely divided solid binder (A).	Yes								
70	Es kann auch vorgesehen sein, dass die Detektionsvorrichtung nach Art eines Lichtvorhangs ausgebildet ist und eine Vielzahl von Elementenpaaren jeweils aus einem Sendeelement und einem Empfangselement aufweist.	It is also possible that the detection device is designed in the form of a light curtain and has a large number of pairs of elements, each consisting of a transmitting element and a receiving element.	It is also possible for the detection device to be designed in the form of a light curtain and to have a plurality of pairs of elements, each consisting of a transmitting element and a receiving element.	It can also be provided that the detection device is implemented in the manner of a light curtain and has a plurality of element pairs, each made of a transmitting element and a receiving element.	Yes								
71	11 durch den Pfeil 49 dargestellt, während der Fluidgegendruck auf die Schaufelblätter durch die Pfeile 50, 51 symbolisiert ist.	11 is represented by the arrow 49, while the fluid back pressure on the blades is symbolized by the arrows 50, 51.	11 by the arrow 49, while the back pressure of the fluid on the blades is symbolized by the arrows 50, 51 .	11 by the arrow 49, whereas the fluid counter-pressure on the impeller blades is symbolized by the arrows 50, 51 .	Yes								
72	Im Bedarfsfall, d.h., wenn das Anschlußteil 1 und/oder das Wellenrohr eine Unwucht aufweisen, die durch ein oder mehrere Gegengewichte ausgeglichen werden soll, können Wuchtgewichte 11 in die entsprechenden Öffnungen 9 eingesteckt werden.	If necessary, i.e. if the connecting part 1 and/or the shaft tube have an imbalance that needs to be compensated for by one or more counterweights, balancing weights 11 can be inserted into the corresponding openings 9.	If necessary, i.e. if the connecting part 1 and/or the shaft tube have an imbalance which has to be compensated by one or more counterweights, compensating weights 11 can be inserted into the corresponding openings 9 .	If required, meaning if the connecting part 1 and/or the shaft 2 are out of balance, which is to be compensated by one or several counterweights, balance weights 11 can be inserted into the corresponding apertures 9.	Yes								
73	Prüfscheibe nach einem der vorhergehenden Ansprüche, dadurch gekennzeichnet, dass die Leseeinrichtung (15) ein RFID-Modul, CCD-Sensoren oder Lasersensoren aufweist.	Test disc according to one of the preceding claims, characterized in that the reading device (15) has an RFID module, CCD sensors or laser sensors.	The test disk according to claim 1, wherein the reading device has an RFID module, CCD sensors or laser sensors.	The test system according to claim 1, wherein the reading device (15) has an RFID module, CCD sensors or laser sensors.	Yes								
74	an einer zu einem Träger hin gewandten ersten Hauptfläche einer strahlungserzeugenden Epitaxieschichtenfolge ist eine reflektierende Schicht aufgebracht oder ausgebildet, die zumindest einen Teil der in der Epitaxieschichtenfolge erzeugten elektromagnetischen Strahlung in diese zurückreflektiert;	A reflective layer is applied or formed on a first main surface of a radiation-generating epitaxial layer sequence facing a carrier, which layer reflects at least a portion of the electromagnetic radiation generated in the epitaxial layer sequence back into the epitaxial layer sequence;	reflecting layer is applied or formed to a first main surface of a radiation-generating epitaxial layer sequence facing a carrier, said layer reflecting at least a portion of the electromagnetic radiation generated in the epitaxial layer sequence back into the epitaxial layer sequence;	reflecting layer is deposited or formed on a first main surface of a radiation-generating epitaxial layer sequence turned toward a carrier, the reflecting layer reflecting at least a part of the electromagnetic radiation generated in the epitaxial layer sequence back to it;	Yes								
75	Kritisch für die Aussteuerung der beiden Transfertransistoren T ist deren zeitliche Relation zur Bewertung, die an dem Versorgungsanschluß a durch je einen der Impulse Ø S eingeleitet wird.	Critical for the modulation of the two transfer transistors T is their temporal relation to the evaluation, which is initiated at the supply connection a by one of the pulses Ø S each.	Critical for the modulation of the two transfer transistors T is their time relationship to the evaluation, which is initiated at the supply terminal a by one of the pulses S in each case.	Critical for driving the two transfer transistors T is the relation thereof in time to the evaluation which is initiated at the supply terminal a by a respective one of the pulses φs.	Yes								
76	Das Aufnahmeelement kann ein Codierungselement zur korrekten Positionierung der Vorratsbehälter der Mehrkomponentenkartusche aufweisen.	The holding element can have a coding element for correct positioning of the storage containers of the multi-component cartridge.	The holding element can have a coding element for correct positioning of the storage containers of the multi-component cartridge.	The reception element can have a coding element for the correct positioning of the storage containers of the multi-component cartridge.	No								
77	R³ Wasserstoff, Alkyl, Hydroxyalkyl, Alkoxyalkyl, Alkylthioalkyl, ggf. substituiertes Phenyl oder Benzyl; sowie Verfahren zu deren Herstellung und deren Verwendung zur Bekämpfung unerwünschten Pflanzenwuchses und zur Regulierung des Pflanzenwachstums.	R³ hydrogen, alkyl, hydroxyalkyl, alkoxyalkyl, alkylthioalkyl, optionally substituted phenyl or benzyl; and process for their preparation and their use for combating undesired plant growth and for regulating plant growth.	R3 is hydrogen, alkyl, hydroxyalkyl, alkoxyalkyl, alkylthioalkyl, optionally substituted phenyl or benzyl, and a process for their preparation and their use for controlling undesired plant growth and for regulating plant growth.	hydrogen, alkyl, hydroxyalkyl, alkoxyalkyl, alkylthioalkyl, substituted or unsubstituted phenyl or benzyl; processes for their manufacture and their use for combating unwanted plant growth and for regulating plant growth.	Yes								
78	Nach Abschluß des Strammvorganges aufgrund der verbrauchten Energie und Abzuges des Antriebs seiles 13 von der Seilscheibe 15 wird das Sperrglied 24 bei geringer Gurtentlastung durch die Wirkung der radial nach innen gerichteten Kraft des Federarmes 30 wieder in seine Ruhelage zurückgedrängt, so daß die Umfangsverzahnung 26 des Sperrgliedes 24 aus der Verzahnung des Zahnringes 31 freikommt.	After completion of the tightening process due to the energy consumed and withdrawal of the drive cable 13 from the cable pulley 15, the locking member 24 is pushed back into its rest position by the effect of the radially inwardly directed force of the spring arm 30 when the belt load is reduced, so that the circumferential toothing 26 of the locking member 24 is released from the toothing of the toothed ring 31.	After the end of the tightening process due to the energy consumed and the pulling of the drive cable 13 from the cable pulley 15, the locking member 24 is pushed back into its detent position by the action of the radially inwardly directed force of the spring arm 30 when the belt load is reduced, so that the peripheral toothing 26 of the locking member 24 is released from the toothing of the toothed ring 31 .	After termination of the tensioning process, and due to the energy utilized and the withdrawal of the drive cable 13 from the cable pulley 15, the locking member 24, when slight belt load is present, is again rolled back into its rest position by the action of the radially inwardly directed force of the spring arm 30, so that the peripheral teeth 26 of the locking member 24 are freed from the teeth of the toothed ring 31.	Yes								
79	Das Profil gemäß Figur 5 zeigt ein Maximum 514, also ein Punkt, an welchem die Steigung des Tragflächenprofils 210 ein stetigen Wechsel von einer positiven Steigung hin zu einer negativen Steigung durchführt (von der Anström- zur Abströmseite).	The airfoil in Figure 5 shows a maximum 514, i.e. a point at which the gradient of the airfoil 210 changes continuously from a positive gradient to a negative gradient (from the inflow side to the outflow side).	The airfoil in FIG. 5 has a maximum 514, i.e. a point at which the gradient of the airfoil 210 continuously changes from a positive gradient to a negative gradient (from the inflow side to the outflow side).	The profile according to FIG. 5 shows a maximum 514, that is, a point at which the slope of airfoil profile 210 conducts a steady change from a positive slope to a negative slope (from the upstream to the downstream side).	Yes								
80	Die zu behandelnden Reproduktionsschichten befinden sich auf leitfähigen Trägern, und diese werden - bei den Beispielen 1 bis 37 - als Kathode in einen Gleichstromkreis geschaltet, die nadelförmig ausgebildete Elektrode dann als Anode.	The reproduction layers to be treated are located on conductive carriers, and these are - in examples 1 to 37 - connected as the cathode in a direct current circuit, with the needle-shaped electrode then acting as the anode.	The reproduction layers to be treated are located on conductive supports, and these are connected—in Examples 1 to 37—as the cathode in a direct current circuit, the needle-shaped electrode then acting as the anode.	The reproduction layers to be treated are situated on conductive bases and these are wired, in the Examples 1 to 37, as cathode in a direct current circuit, the electrode of stylus-type construction then being the anode.	Yes								
81	Acylamino steht beispielsweise für Formylamino, Acetylamino, Propionylamino, n- und iso-Butyrylamino, Valeroylamino, iso-Valeroylamino, Pivaloylamino.	Acylamino stands for example for formylamino, acetylamino, propionylamino, n- and iso-butyrylamino, valeroylamino, iso-valeroylamino, pivaloylamino.	Acylamino represents, for example, formylamino, acetylamino, propionylamino, n- and isobutyrylamino, valeroylamino, isovaleroylamino, pivaloylamino.	Acylamino (preferably alkanoylamino) represents, for example, formylamino, acetylamino, propionylamino, n- or iso-butyrylamino, valeroylamino, isovaleroylamino and pivaloylamino.	Yes								
82	Bevorzugt sind in diesem Fall die Dosenaufnahmen nicht entlang der vorgenannten Achse verstellbar angeordnet.	Preferably in this case, the can holders are not arranged to be adjustable along the aforementioned axis.	Preferably, in this case, the can holders are not arranged to be adjustable along the aforementioned axis.	Preferably, in this case, the can mounts are arranged so not to be movable along the above-mentioned axis.	Yes								
83	Dabei verklebt die Klebescheibe (110), die sich noch in ihrer Einbauposition (111) befindet, mit ihrer Klebeschicht (121), die z.B. bei einem Durchmesser von 10 mm eine Fläche von ca.	The adhesive disk (110), which is still in its installation position (111), bonds with its adhesive layer (121), which, for example, with a diameter of 10 mm, has an area of approx.	The adhesive disk (110), which is still in its installation position (111), bonds with its adhesive layer (121), which has, for example, a diameter of 10 mm and has a surface area of approx.	The adhesive disc (110), which is still located in its installation position (111), affixes itself to the skin surface (201) via its adhesive layer (121) which, for example with a diameter of 10 mm, has a surface area of ca.	Yes								
84	In einer bevorzugten Ausführungsform enthält die Komponente C vorzugsweise eine oder mehrere Verbindungen der Formel IV-5, stärker bevorzugt ausgewählt aus ihren jeweiligen Unterformeln der Formel CCP-V-n und/oder CCP-nV-m und/oder CCP-Vn-m, stärker bevorzugt der Formel CCP-V-n und/oder CCP-V2-n und ganz bevorzugt ausgewählt aus der Gruppe der Formeln CCP-V-1 und CCP-V2-1.	In a preferred embodiment, component C preferably comprises one or more compounds of formula IV-5, more preferably selected from their respective subformulae of formula CCP-V-n and/or CCP-nV-m and/or CCP-Vn-m, more preferably of formula CCP-V-n and/or CCP-V2-n and most preferably selected from the group of formulae CCP-V-1 and CCP-V2-1.	In a preferred embodiment, component C preferably comprises one or more compounds of the formula IV-5, more preferably selected from their respective subformulae of the formula CCP-V-n and/or CCP-nV-m and/or CCP-Vn-m, more preferably of the formula CCP-V-n and/or CCP-V2-n and most preferably selected from the group of the formulae CCP-V-1 and CCP-V2-1.	In a preferred embodiment, component C preferably comprises one or more compounds of the formula IV-5, more preferably selected from the respective sub-formulae thereof of the formulae CCP-V-n and/or CCP-nV-m and/or CCP-Vn-m, more preferably of the formulae CCP-V-n and/or CCP-V2-n and very preferably selected from the group of the formulae CCP-V-1 and CCP-V2-1.	Yes								
85	Die einfachste Form des Verdrängungsassays beruht auf einem gereinigten oder rekombinant erzeugten markierten Antigen, welches zusammen mit dem bindenden Antikörper als Antigen-Antikörperkomplex vorliegt.	The simplest form of the displacement assay is based on a purified or recombinantly produced labeled antigen, which is present together with the binding antibody as an antigen-antibody complex.	The simplest form of the displacement assay is based on a purified or recombinantly prepared labeled antigen which is present together with the binding antibody as an antigen-antibody complex.	This simplest form of competition assay involves a purified or recombinantly produced labeled antigen, which is present together with the binding antibody as an antigen/antibody complex.	Yes								
86	Die einzige Figur zeigt einen Wärmespeicher 1, der einen Behälter 2 mit zwei geneigten Platten 42, 43 umfasst.	The only figure shows a thermal accumulator 1 comprising a container 2 with two inclined plates 42, 43.	The single FIGURE shows a thermal accumulator 1 comprising a container 2 with two inclined plates 42, 43 .	FIG. 1 shows a heat store 1, which comprises a container 2 with two inclined plates 42, 43 .	Yes								
87	Wie in Figur 3 zu erkennen ist, ist eine Durchgangsabsenkung 80 an einem Einlasskragen 82 am Filtergehäuse 56 des Filtermoduls 48 vorhanden.	As can be seen in Figure 3, there is a passageway lowering 80 at an inlet collar 82 on the filter housing 56 of the filter module 48.	As can be seen in FIG. 3, a passage recess 80 is provided on an inlet collar 82 on the filter housing 56 of the filter module 48 .	As can be seen in FIG. 3, a deeper passage portion 80 is present on an inlet collar 82 on the filter housing 56 of the filter module 48 .	Yes								
88	Hohe Ölleitfähigkeiten treten gerade bei stark gealterten Transformatoren auf, so dass hier der unkorrigierte Feuchtegehalt höher als der reale Feuchtegehalt des Pressboards und Papiers ist.	High oil conductivities occur particularly with heavily aged transformers, so that the uncorrected moisture content here is higher than the actual moisture content of the pressboard and paper.	High oil conductivities occur in particular in heavily aged transformers, so that the uncorrected moisture content is higher here than the actual moisture content of the pressboard and paper.	High oil conductivities occur particularly in the case of greatly aged transformers, so that here the uncorrected humidity content is higher than the real humidity content of the pressboard and paper.	Yes								
89	Fig. 1 zeigt eine Vorrichtung (Feldstabilisator) zum Kompensieren von Feldstörungen in Magnetfeldern, beispielsweise zur Verwendung in einer MR-Apparatur.	Fig. 1 shows a device (field stabilizer) for compensating for field disturbances in magnetic fields, for example for use in an MR apparatus.	FIG. 1 shows a device (field stabilizer) for compensating for field disturbances in magnetic fields, for example for use in an MR apparatus.	FIG. 1 shows a device (field stabilizer) for compensating field disruptions in magnetic fields, e.g. for use in an MR apparatus.	Yes								
90	Die Abstandshalter sind beispielsweise mit einem Glaslot oder einem Glasfrittenmaterial gebildet oder bestehen aus einem dieser Materialien.	The spacers are formed with a glass solder or a glass frit material, for example, or consist of one of these materials.	The spacers are formed, for example, with a glass solder or a glass frit material or consist of one of these materials.	The spacers are, for example, formed with a glass solder or a glass frit material or consist of one of these materials.	Yes								
91	Unter dem Vorderrahmen 11 ist das Arbeitsgerät 14 angeordnet, das aus dem Schar 15, dem Drehwerk 16 und dem Schwenkstuhl 17 besteht.	The implement 14, which consists of the coulter 15, the slewing gear 16 and the swivel chair 17, is arranged under the front frame 11.	The implement 14, which consists of the coulter 15, the slewing gear 16 and the swivel chair 17, is arranged below the front frame 11 .	Beneath the front frame 11, the implement 14 is arranged, which consists of the share 15, the slewing gear 16 and the swivel seating 17 .	Yes								
92	Das IR-Leuchtmittel 5 ist mit einer Shutter-Frequenz der Kamera 3 synchronisiert.	The IR illuminant 5 is synchronized with a shutter frequency of the camera 3.	The IR illumination means 5 is synchronized with a shutter frequency of the camera 3 .	The infrared illuminant 5 is synchronized with a shutter frequency of the camera 3 .	Yes								
93	Diese Federanlagefläche 46 verläuft schräg zu der gegenüberliegenden Innenfläche des anderen Längsschenkels 24b und ist im Bereich jeder der Einsetzführungen 42 zur Ausbildung einer Durchtrittöffnung 48 U-förmig freigeschnitten.	This spring contact surface 46 extends obliquely to the opposite inner surface of the other longitudinal leg 24b and is cut out in a U-shape in the region of each of the insertion guides 42 to form a passage opening 48.	This spring contact surface 46 extends obliquely to the opposite inner surface of the other longitudinal limb 24 b and is cut out in a U-shape in the region of each of the insertion guides 42 to form a passage opening 48 .	This spring contact surface 46 extends at an oblique angle to the opposite inner surface of the other longitudinal leg 24 b and is cut free in a U-shape in the area of each of the insertion guide means 42 so as to form passage openings 48 .	Yes								
94	Sie können zum Beispiel als selbstregulierende PTC-Heizelemente ausgeführt sein.	For example, they can be designed as self-regulating PTC heating elements.	For example, they can be designed as self-regulating PTC heating elements.	They can be designed, for example, as self-regulating PTC heating elements.	No								
95	Einen weiteren Beitrag zu C1 liefert die Kopplungskapazität zwischen der Signalelektrode ES und der mit Ground verbundenen Elektrode EG.	The coupling capacitance between the signal electrode ES and the electrode EG connected to ground makes a further contribution to C1.	The coupling capacitance between the signal electrode ES and the electrode EG connected to ground makes a further contribution to C 1 .	A further contribution to C 1 is supplied by the coupling capacity between the signal electrode ES and the electrode EG connected to ground.	Yes								
96	Der Hochdruck verschiebt den Steuerschieber 36 des Fahrtrichtungsventils 20 in Richtung linke Endstellung, so daß die Verstellpumpe 1 in die dem Rückwärtsgang entsprechende Förderrichtung ausgeschwenkt wird.	The high pressure moves the control spool 36 of the direction of travel valve 20 towards the left end position, so that the variable displacement pump 1 is swung out in the delivery direction corresponding to the reverse gear.	The high pressure moves the control spool 36 of the direction of travel valve 20 in the direction of the left end position, so that the variable displacement pump 1 is pivoted out in the delivery direction corresponding to the reverse gear.	The high pressure displaces the control spool 36 of the travel-direction control valve 20 towards the left-hand end position, so that the variable displacement pump 1 is tilted into the direction of displacement corresponding to the reverse gear.	Yes								
97	Die Gleichtaktunterdrückung üblicher Operationsverstärker ist mit einer derartigen Gleichtaktbelastung überfordert.	The common mode rejection of conventional operational amplifiers is unable to cope with such a common mode load.	The common mode rejection of conventional operational amplifiers is not able to cope with such a common mode load.	The common-mode suppression of common operating amplifiers is usually unable to withstand such a common-mode load.	Yes								
98	Isolationswiderstände können sich durch Alterungsprozesse und Umwelteinflüsse wie beispielsweise Temperatur, Feuchtigkeit, Verschmutzung oder Beschädigung sowie durch chemische oder physikalische Prozesse verändern.	Insulation resistances can change due to ageing processes and environmental influences such as temperature, humidity, soiling or damage as well as chemical or physical processes.	Insulation resistances can change due to aging processes and environmental influences such as temperature, humidity, soiling or damage, as well as chemical or physical processes.	Insulation resistances can change as a result of aging processes and environmental influences, such as temperature, moisture, pollution or damage, and also as a result of chemical or physical processes.	Yes								
99	In einem sechsten Schritt erfolgt eine Messung der körperausgeschiedenen/entnommenen Flüssigkeit/verbrauchten Dialysierflüssigkeit mittels des (optischen) Sensors (UV-Sensors), der auf die in Schritt vier bestimmte Wellenlänge eingestellt ist, zumindest bei einem 2. (ausgewählten oder vorbestimmten) pH-Wert der körperausgeschiedenen/entnommenen Flüssigkeit/Dialysierflüsigkeit, um zumindest einen zweiten Messwert zu erhalten (oder kontinuierliche Messung).	In a sixth step, a measurement of the body excreted/withdrawn liquid/spent dialysis fluid is carried out by means of the (optical) sensor (UV sensor) set to the wavelength determined in step four, at least at a 2nd (selected or predetermined) pH value of the body excreted/withdrawn liquid/dialysis fluid, in order to obtain at least a second measured value (or continuous measurement).	In a sixth step, the body excreted/withdrawn liquid/spent dialysis fluid is measured by means of the (optical) sensor (UV sensor) set to the wavelength determined in step four, at least at a second (selected or predetermined) pH of the body excreted/withdrawn liquid/dialysis fluid, in order to obtain at least a second measured value (or continuous measurement).	In a sixth step the fluid excreted/extracted from the body/the spent dialysate is measured with an (optical) sensor (UV sensor) which is adjusted to the wavelength determined in step four, at least at a second (selected or predetermined) pH value of the fluid excreted/extracted from the body/the dialysate, so as to obtain at least one second measurement value (or continuous measurement).	Yes								
